protein_name	COG	COG_ID	COG_System	COG_Process	locusId
50S ribosomal protein L16	COG0197	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17345
Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	COG2264	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS15835
Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	COG0689	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS04715
Protein RecA (Recombinase A)	COG0468	L	Information storage and processing	Replication, recombination and repair	H16_RS02690
Ribonuclease H (RNase H) (EC 3.1.26.4)	COG0328	L	Information storage and processing	Replication, recombination and repair	H16_RS12320
Ribosome maturation factor RimP	COG0779	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS11535
Ribulose bisphosphate carboxylase small chain, plasmid (RuBisCO small subunit) (EC 4.1.1.39)	COG4451	G	Metabolism	Carbohydrate transport and metabolism	PHG426
50S ribosomal protein L14	COG0093	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17330
50S ribosomal protein L21	COG0261	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS16200
50S ribosomal protein L7/L12	COG0222	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17450
50S ribosomal protein L28	COG0227	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS15125
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD (EC 2.1.1.190) (23S rRNA(m5U1939)-methyltransferase)	COG2265	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS11845
50S ribosomal protein L29	COG0255	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17340
Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	COG0571	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS12725
RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase)	COG0494	L	Information storage and processing	Replication, recombination and repair	H16_RS16175
NADH-quinone oxidoreductase subunit C (EC 7.1.1.-) (NADH dehydrogenase I subunit C) (NDH-1 subunit C)	COG0852	X	Metabolism	Oxidative phosphorylation	H16_RS05230
NADH-quinone oxidoreductase subunit H (EC 7.1.1.-) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	COG1005	X	Metabolism	Oxidative phosphorylation	H16_RS05255
NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	COG1143	X	Metabolism	Oxidative phosphorylation	H16_RS05260
Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	COG0414	H	Metabolism	Coenzyme transport and metabolism	H16_RS14750
Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	COG0152	F	Metabolism	Nucleotide transport and metabolism	H16_RS02815
Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	COG0853	H	Metabolism	Coenzyme transport and metabolism	H16_RS15615
30S ribosomal protein S12	COG0048	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17430
30S ribosomal protein S13	COG0099	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17265
Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	COG0357	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS18210
UPF0173 metal-dependent hydrolase H16_A2129	COG2220	S	Poorly characterized	Function unknown	H16_RS10645
Putative hydro-lyase H16_B1759 (EC 4.2.1.-)	COG4336	S	Poorly characterized	Function unknown	H16_RS27520
Transketolase, chromosomal (TK) (EC 2.2.1.1)	COG0021	G	Metabolism	Carbohydrate transport and metabolism	H16_RS25640
Transketolase, plasmid (TK) (EC 2.2.1.1)	COG0021	G	Metabolism	Carbohydrate transport and metabolism	PHG420
Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	COG0149	G	Metabolism	Carbohydrate transport and metabolism	H16_RS05205
Putative thymidine phosphorylase 1 (EC 2.4.2.4) (TdRPase 1)	COG0213	F	Metabolism	Nucleotide transport and metabolism	H16_RS10035
4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-) (4-HB polyprenyltransferase)	COG0382	H	Metabolism	Coenzyme transport and metabolism	H16_RS15495
Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	COG0207	F	Metabolism	Nucleotide transport and metabolism	H16_RS13460
Trigger factor (TF) (EC 5.2.1.8) (PPIase)	COG0544	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS07360
Uncharacterized symporter H16_A2524	COG4147	P	Metabolism	Inorganic ion transport and metabolism	H16_RS12575
UPF0234 protein H16_A3060	COG1666	S	Poorly characterized	Signal transduction mechanisms	H16_RS15255
UPF0758 protein H16_A3033	COG2003	E	Metabolism	Amino acid transport and metabolism	H16_RS15120
UPF0213 protein H16_B0156	COG2827	L	Information storage and processing	Replication, recombination and repair	H16_RS19510
Uncharacterized protein H16_B0147 (ORF 7)	COG0599	S	Poorly characterized	Function unknown	H16_RS19465
Uncharacterized protein H16_B0148 (ORF 8)	COG0095	H	Metabolism	Coenzyme transport and metabolism	H16_RS19470
UPF0102 protein H16_A3579	COG0792	L	Information storage and processing	Replication, recombination and repair	H16_RS17855
Nucleotide-binding protein H16_A0381	COG1660	S	Poorly characterized	Translation, ribosomal structure and biogenesis	H16_RS01875
UPF0502 protein H16_B1091	COG3132	S	Poorly characterized	Function unknown	H16_RS24215
Putative membrane protein insertion efficiency factor	COG0759	S	Poorly characterized	Function unknown	H16_RS18710
Putative membrane protein insertion efficiency factor	COG0759	S	Poorly characterized	Function unknown	H16_RS18715
Cell division protein ZapD (Z ring-associated protein D)	COG4582	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS16240
Cell division protein ZapD (Z ring-associated protein D)	COG4582	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS16245
Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)	COG0706	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS18705
Putative pre-16S rRNA nuclease (EC 3.1.-.-)	COG0816	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS14530
tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	COG0220	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS14300
Single-stranded DNA-binding protein (SSB)	COG0629	L	Information storage and processing	Replication, recombination and repair	PHG335
SsrA-binding protein (Small protein B)	COG0691	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS10155
Aliphatic sulfonates import ATP-binding protein SsuB (EC 3.6.3.-)	COG1116	P	Metabolism	Inorganic ion transport and metabolism	H16_RS11205
D-(-)-3-hydroxybutyrate oligomer hydrolase (3HB-oligomer hydrolase) (3HBOH) (EC 3.1.1.22) (Intracellular 3HB-oligomer hydrolase) (i3HBOH)	NA	I	Metabolism	Lipid transport and metabolism	H16_RS11250
Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	COG2334	F	Metabolism	Nucleotide transport and metabolism	H16_RS13680
tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	COG0482	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS15600
L-lactate dehydrogenase (EC 1.1.1.27)	COG2055	C	Metabolism	Energy production and conversion	H16_RS03295
Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	COG0125	F	Metabolism	Nucleotide transport and metabolism	H16_RS07795
Probable septum site-determining protein MinC	COG0850	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS00400
Cell division topological specificity factor	COG0851	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS00390
Membrane-bound lysozyme inhibitor of C-type lysozyme	COG3895	S	Poorly characterized	Function unknown	H16_RS12500
Probable potassium transport system protein kup 2	COG3158	P	Metabolism	Inorganic ion transport and metabolism	H16_RS23635
Probable potassium transport system protein kup 1	COG3158	P	Metabolism	Inorganic ion transport and metabolism	H16_RS07045
Non-homologous end joining protein Ku	COG1273	L	Information storage and processing	Replication, recombination and repair	H16_RS30460
Probable potassium transport system protein kup 3	COG3158	P	Metabolism	Inorganic ion transport and metabolism	PHG116
Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)	COG1878	S	Poorly characterized	Energy production and conversion	H16_RS14030
tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	COG0324	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS15310
Phosphoribulokinase, chromosomal (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase)	COG3954	C	Metabolism	Energy production and conversion	H16_RS25645
Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	COG0283	F	Metabolism	Nucleotide transport and metabolism	H16_RS03950
3-oxo-tetronate kinase (EC 2.7.1.217) (3-dehydrotetronate 4-kinase)	COG3395	S	Poorly characterized	Energy production and conversion	H16_RS07755
Coenzyme PQQ synthesis protein B (Pyrroloquinoline quinone biosynthesis protein B)	COG1235	P	Metabolism	Inorganic ion transport and metabolism	H16_RS24020
Coenzyme PQQ synthesis protein B (Pyrroloquinoline quinone biosynthesis protein B)	COG1235	P	Metabolism	Inorganic ion transport and metabolism	H16_RS24025
50S ribosomal protein L35	COG0291	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS06660
50S ribosomal protein L30	COG1841	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17290
Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	COG0284	F	Metabolism	Nucleotide transport and metabolism	H16_RS15755
CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	COG0504	F	Metabolism	Nucleotide transport and metabolism	H16_RS05880
Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	COG0528	F	Metabolism	Nucleotide transport and metabolism	H16_RS10245
Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	COG0540	F	Metabolism	Nucleotide transport and metabolism	H16_RS14520
NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	COG0780	F	Metabolism	Nucleotide transport and metabolism	H16_RS02095
50S ribosomal protein L5	COG0094	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17320
Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	COG0193	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS01820
Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	COG0138	F	Metabolism	Nucleotide transport and metabolism	H16_RS02475
Ribosome-binding factor A	COG0858	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS11520
Ribulose bisphosphate carboxylase large chain, plasmid (RuBisCO large subunit) (EC 4.1.1.39)	COG1850	G	Metabolism	Carbohydrate transport and metabolism	PHG427
50S ribosomal protein L33	COG0267	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS15130
S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	COG0809	F	Metabolism	Nucleotide transport and metabolism	H16_RS15525
50S ribosomal protein L6	COG0097	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17305
50S ribosomal protein L34	COG0230	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS18720
7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	COG0603	F	Metabolism	Nucleotide transport and metabolism	H16_RS14080
50S ribosomal protein L36	COG0257	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17270
Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	COG1488	F	Metabolism	Nucleotide transport and metabolism	H16_RS12890
5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)	COG1540	S	Poorly characterized	Function unknown	H16_RS00600
50S ribosomal protein L2	COG0090	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17365
50S ribosomal protein L31 type B	COG0254	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS11980
50S ribosomal protein L32	COG0333	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS12805
Ribosome maturation factor RimM	COG0806	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS04445
Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (EC 2.4.2.15) (Inosine phosphorylase) (Thymidine phosphorylase) (EC 2.4.2.4) (Uridine phosphorylase) (EC 2.4.2.3) (Xanthosine phosphorylase)	COG3123	S	Poorly characterized	Nucleotide transport and metabolism	H16_RS15265
Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	COG0461	F	Metabolism	Nucleotide transport and metabolism	H16_RS01090
Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)	COG0621	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS07170
Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	COG0014	E	Metabolism	Amino acid transport and metabolism	H16_RS15650
Putative phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)	COG1806	F	Metabolism	Nucleotide transport and metabolism	H16_RS10175
50S ribosomal protein L23	COG0089	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17370
50S ribosomal protein L1	COG0081	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17460
50S ribosomal protein L25 (General stress protein CTC)	COG1825	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS01825
50S ribosomal protein L27	COG0211	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS16195
Dihydroorotase (DHOase) (EC 3.5.2.3)	COG0418	F	Metabolism	Nucleotide transport and metabolism	H16_RS02365
tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	COG0336	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS04450
Alkanesulfonate monooxygenase (EC 1.14.14.5) (FMNH2-dependent aliphatic sulfonate monooxygenase)	COG2141	C	Metabolism	Energy production and conversion	H16_RS11215
Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	COG0134	E	Metabolism	Amino acid transport and metabolism	H16_RS16560
Putative transglycosylase H16_A0665 (EC 2.4.2.-)	COG5009	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS03290
30S ribosomal protein S9	COG0103	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS02385
Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	COG0016	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS06670
Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	COG0275	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS16355
Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	COG0045	C	Metabolism	Energy production and conversion	H16_RS02705
Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	COG0547	F	Metabolism	Nucleotide transport and metabolism	H16_RS16555
tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	COG0101	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS13025
